id,host_id,host_neighbourhood,street,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,city,state,zipcode,smart_location,is_location_exact,property_type,room_type,accommodates,bedrooms,beds,price
44077,193005,Churchtown,"Churchtown, Ireland",Churchtown,Dn Laoghaire-Rathdown,,Churchtown,,Dublin 14,"Churchtown, Ireland",t,Bungalow,Private room,2,1,2,$50.00
85148,466111,Templeogue,"Templeogue, Dublin, Ireland",Templeogue,South Dublin,,Templeogue,Dublin,,"Templeogue, Ireland",t,House,Private room,2,1,1,$30.00
85156,193005,Churchtown,"Churchtown, Ireland",Churchtown,Dn Laoghaire-Rathdown,,Churchtown,,Dublin 14,"Churchtown, Ireland",t,Bungalow,Private room,2,1,1,$50.00
121030,608225,Sandymount,"Dublin, Ireland",Sandymount,Dublin City,,Dublin,,Dublin 4,"Dublin, Ireland",t,House,Private room,2,1,1,$55.00
159889,766611,Beaumont,"Dublin, Ireland",Beaumont,Dublin City,,Dublin,,Dublin 9,"Dublin, Ireland",t,House,Private room,1,3,6,$29.00
162809,777681,Blackrock,"Dublin, Dublin, Ireland",Blackrock,Dn Laoghaire-Rathdown,,Dublin,Dublin,,"Dublin, Ireland",f,Townhouse,Private room,6,2,4,$55.00
165828,790601,Kilmainham,"Dublin, Ireland",Inchicore,Dublin City,,Dublin,,Dublin 8,"Dublin, Ireland",t,Apartment,Entire home/apt,5,1,1,$147.00
165829,790601,Kilmainham,"Dublin, Ireland",Inchicore,Dublin City,,Dublin,,Dublin 8,"Dublin, Ireland",t,Apartment,Entire home/apt,5,1,3,$135.00
178860,856312,Portobello,"Dublin, Ireland",Portobello,Dublin City,,Dublin,,Dublin 8,"Dublin, Ireland",t,House,Private room,2,1,1,$56.00
181823,608225,Sandymount,"Dublin, Ireland",Sandymount,Dublin City,,Dublin,,Dublin 4,"Dublin, Ireland",t,House,Private room,2,1,1,$75.00
200979,982970,,"Dalkey, Dublin, Ireland",,Dn Laoghaire-Rathdown,,Dalkey,Dublin,,"Dalkey, Ireland",t,House,Entire home/apt,6,2,4,$220.00
237465,1245198,,"Dublin, Ireland",Raheny,Dublin City,,Dublin,,Dublin 13,"Dublin, Ireland",t,Apartment,Entire home/apt,3,1,2,$55.00
245893,1289720,,"Lucan, County Dublin, Ireland",Clondalkin,South Dublin,,Lucan,County Dublin,,"Lucan, Ireland",t,House,Private room,2,1,1,$45.00
245903,1289720,,"Lucan, County Dublin, Ireland",,South Dublin,,Lucan,County Dublin,,"Lucan, Ireland",t,Bed and breakfast,Private room,1,1,1,$30.00
246560,435734,Portobello,"Dublin, Dublin, Ireland",Portobello,Dublin City,,Dublin,Dublin,,"Dublin, Ireland",t,Townhouse,Private room,2,1,1,$59.00
254941,1339322,,"Blackrock, Dublin, Ireland",Blackrock,Dn Laoghaire-Rathdown,,Blackrock,Dublin,,"Blackrock, Ireland",t,House,Private room,2,1,1,$50.00
261248,1370323,,"Dun Laoghaire, Ireland",,Dn Laoghaire-Rathdown,,Dun Laoghaire,,,"Dun Laoghaire, Ireland",t,Bed and breakfast,Private room,2,1,1,$36.00
266654,1398274,Finglas,"Dublin, Ireland",Finglas,Dublin City,,Dublin,,Dublin 11,"Dublin, Ireland",t,House,Private room,1,1,1,$35.00
266672,1398274,Finglas,"Dublin, Ireland",Finglas,Dublin City,,Dublin,,Dublin 11,"Dublin, Ireland",t,House,Private room,1,1,1,$50.00
266856,1370323,,"Dun Laoghaire, Ireland",,Dn Laoghaire-Rathdown,,Dun Laoghaire,,,"Dun Laoghaire, Ireland",t,Bed and breakfast,Private room,2,1,0,$36.00
275425,1357428,Sandymount,"Sandymount, Dublin, Ireland",Sandymount,Dublin City,,Sandymount,Dublin,,"Sandymount, Ireland",t,House,Entire home/apt,6,2,3,$248.00
292757,1515549,Castleknock,"Dublin, Ireland",Castleknock,Fingal,,Dublin,,D15 C6YT,"Dublin, Ireland",f,House,Entire home/apt,9,4,5,$120.00
302554,1557844,Stoneybatter/Arbour Hill,"Dublin, County Dublin, Ireland",City Centre,Dublin City,,Dublin,County Dublin,Dublin 7,"Dublin, Ireland",t,Apartment,Entire home/apt,5,1,3,$180.00
302634,1557844,Stoneybatter/Arbour Hill,"Dublin, County Dublin, Ireland",City Centre,Dublin City,,Dublin,County Dublin,Dublin 7,"Dublin, Ireland",t,Apartment,Entire home/apt,2,1,2,$100.00
315698,1625811,Ringsend/Irishtown,"Irishtown, Dublin, Ireland",Ringsend/Irishtown,Dublin City,,Irishtown,Dublin,D4,"Irishtown, Ireland",t,Apartment,Private room,2,1,0,$44.00
333950,1607393,The Liberties,"Dublin, County Dublin, Ireland",Old City,Dublin City,,Dublin,County Dublin,Dublin 8,"Dublin, Ireland",t,Townhouse,Private room,2,1,1,$60.00
345398,1339322,,"Stillorgan, County Dublin, Ireland",Blackrock,Dn Laoghaire-Rathdown,,Stillorgan,County Dublin,,"Stillorgan, Ireland",t,House,Private room,2,1,1,$50.00
365854,1847391,North City Central/O'Connell Street,"Dublin, County Dublin, Ireland",North City Central/O'Connell Street,Dublin City,,Dublin,County Dublin,Dublin 1,"Dublin, Ireland",t,Apartment,Entire home/apt,3,1,1,$85.00
374792,790601,Kilmainham,"Dublin, County Dublin, Ireland",Inchicore,Dublin City,,Dublin,County Dublin,Dublin 8,"Dublin, Ireland",t,Apartment,Entire home/apt,4,1,1,$135.00
386860,1935798,The Liberties,"Dublin, County Dublin, Ireland",Old City,Dublin City,,Dublin,County Dublin,Dublin 8,"Dublin, Ireland",t,House,Entire home/apt,4,2,2,$150.00
393631,1968168,North Strand,"Dublin, Dublin, Ireland",East Wall,Dublin City,,Dublin,Dublin,,"Dublin, Ireland",t,House,Entire home/apt,6,3,3,$180.00
419987,1557844,Stoneybatter/Arbour Hill,"Dublin, County Dublin, Ireland",Cabra,Dublin City,,Dublin,County Dublin,Dublin 7,"Dublin, Ireland",t,Apartment,Entire home/apt,6,1,3,$200.00
420297,193005,Churchtown,"Churchtown, Ireland",Churchtown,Dn Laoghaire-Rathdown,,Churchtown,,Dublin 14,"Churchtown, Ireland",t,Bungalow,Private room,2,1,2,$50.00
421239,1976386,Dublin Industrial Estate,"Glasnevin, Dublin, Ireland",Dublin Industrial Estate,Dublin City,,Glasnevin,Dublin,D11,"Glasnevin, Ireland",t,Bed and breakfast,Private room,2,1,2,$90.00
424596,2110301,North City Central/O'Connell Street,"Dublin, County Dublin, Ireland",City Centre,Dublin City,,Dublin,County Dublin,,"Dublin, Ireland",t,Loft,Entire home/apt,3,1,1,$110.00
425164,2106659,Portobello,"Dublin, County Dublin, Ireland",Portobello,Dublin City,,Dublin,County Dublin,Dublin 8,"Dublin, Ireland",t,House,Private room,3,1,2,$110.00
426326,766611,Beaumont,"Dublin, County Dublin, Ireland",Beaumont,Dublin City,,Dublin,County Dublin,Dublin 9,"Dublin, Ireland",t,House,Private room,3,1,2,$36.00
427077,2110301,North City Central/O'Connell Street,"Dublin, County Dublin, Ireland",City Centre,Dublin City,,Dublin,County Dublin,,"Dublin, Ireland",t,Loft,Entire home/apt,3,1,2,$110.00
427495,766611,Beaumont,"Dublin, County Dublin, Ireland",Beaumont,Dublin City,,Dublin,County Dublin,Dublin 9,"Dublin, Ireland",t,House,Private room,2,3,1,$35.00
449556,2232368,,"North County Dublin, Dublin, Ireland",,Fingal,,North County Dublin,Dublin,K67EA03,"North County Dublin, Ireland",t,Bed and breakfast,Private room,4,1,3,$145.00
451611,1607393,The Liberties,"Dublin 8, Dublin, Ireland",Old City,Dublin City,,Dublin 8,Dublin,D8,"Dublin 8, Ireland",t,Apartment,Entire home/apt,2,1,1,$83.00
454183,408378,Cabra,"Dublin, County Dublin, Ireland",Cabra,Dublin City,,Dublin,County Dublin,Dublin 7,"Dublin, Ireland",t,Loft,Entire home/apt,3,1,2,$80.00
468082,2115318,,"Lucan, County Dublin, Ireland",,South Dublin,,Lucan,County Dublin,,"Lucan, Ireland",t,House,Private room,6,3,4,$70.00
497136,608225,Sandymount,"Dublin, County Dublin, Ireland",Sandymount,Dublin City,,Dublin,County Dublin,Dublin 4,"Dublin, Ireland",t,House,Private room,2,1,1,$55.00
519416,2556184,North City Central/O'Connell Street,"Dublin, Dublin 1, Ireland",Smithfield,Dublin City,,Dublin,Dublin 1,,"Dublin, Ireland",t,Apartment,Private room,2,1,1,$52.00
522667,2110301,North City Central/O'Connell Street,"Dublin, County Dublin, Ireland",North City Central/O'Connell Street,Dublin City,,Dublin,County Dublin,,"Dublin, Ireland",t,Loft,Entire home/apt,3,1,1,$110.00
526767,2340296,North City Central/O'Connell Street,"Dublin, Dublin, Ireland",City Centre,Dublin City,,Dublin,Dublin,,"Dublin, Ireland",t,Loft,Entire home/apt,4,0,2,$140.00
536320,1334552,Smithfield,"Dublin, County Dublin, Ireland",Smithfield,Dublin City,,Dublin,County Dublin,Dublin 7,"Dublin, Ireland",t,Loft,Private room,2,1,1,$50.00
547945,2692493,Phibsborough,"Dublin, County Dublin, Ireland",Phibsborough,Dublin City,,Dublin,County Dublin,Dublin 7,"Dublin, Ireland",t,House,Private room,1,1,1,$35.00
564274,2774638,,"Stillorgan, County Dublin, Ireland",Dundrum,Dn Laoghaire-Rathdown,,Stillorgan,County Dublin,Dublin 18,"Stillorgan, Ireland",t,House,Private room,2,2,1,$29.00
575339,1689834,,"Dublin, County Dublin, Ireland",Docklands,Dublin City,,Dublin,County Dublin,Dublin 2,"Dublin, Ireland",f,Apartment,Private room,2,1,2,$50.00
587218,2895736,Cabra,"Dublin, Dublin, Ireland",City Centre,Dublin City,,Dublin,Dublin,,"Dublin, Ireland",t,House,Private room,2,1,1,$80.00
592840,2115318,,"Lucan, County Dublin, Ireland",,South Dublin,,Lucan,County Dublin,,"Lucan, Ireland",t,House,Private room,1,1,1,$55.00
